topic,class
Android,negative
Android,negative
Android,negative
Android,negative
Android,negative
Android,negative
Android,negative
Android,negative
Android,negative
Android,negative
Android,negative
Android,negative
Android,negative
Android,negative
Android,negative
Android,negative
Android,negative
Android,negative
Android,negative
Android,negative
Android,negative
Android,negative
Android,negative
Android,negative
Android,negative
Android,negative
Android,negative
Android,negative
Android,negative
Android,negative
Android,negative
Android,negative
Android,negative
Android,negative
Android,negative
Android,negative
Android,negative
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
iOS,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
BlackBerry,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
Android,neutral
