X,date,followers,friends,listed,predicted,retweets,source,source_cleaned,statuses,tweettopic,user,text
24149,Fri  01 Mar 2013 22:12:30 +0000,81,78,0,neutral,0,Twitter for BlackBerry??,BlackBerry,3784,Android,dibby_tiffy,@Shavii_Android oh ok
24172,Fri  01 Mar 2013 22:16:45 +0000,45,91,0,positive,0,Twitter for BlackBerry??,BlackBerry,1121,Android,berbatee22,Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA
24182,Fri  01 Mar 2013 22:18:58 +0000,15,83,0,positive,0,Twitter for BlackBerry??,BlackBerry,2041,Android,osiraj,@ZHidayatullah recommend u stick with Android browser. The Jelly Bean web browser built in  is the best.
24278,Fri  01 Mar 2013 22:42:12 +0000,371,274,0,negative,0,Twitter for BlackBerry??,BlackBerry,5869,Android,KeepZeeFree,Can't wait till I get my android soon  can't be dealing with shitberry any longer
24323,Fri  01 Mar 2013 22:52:53 +0000,1009,24,0,neutral,0,Twitter for BlackBerry??,BlackBerry,614,Android,Ikz27,@SaminaBibi27 I use a cheat app too  but its only on android and its unlimited hehe :P btw  check yur fne x
24328,Fri  01 Mar 2013 22:53:46 +0000,322,309,1,positive,0,Twitter for BlackBerry??,BlackBerry,2620,Android,kuteniva214,U r tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA
24423,Fri  01 Mar 2013 23:16:47 +0000,47,108,0,neutral,0,Twitter for BlackBerry??,BlackBerry,76,Android,arrumdwia,Workshop Android "Make It Easy With PhonegpGap" @ukmpcc
24451,Fri  01 Mar 2013 23:24:41 +0000,521,268,0,positive,0,Twitter for BlackBerry??,BlackBerry,9419,Android,deeboii01,Girls out here be shaped like the android mascot O.O
24500,Fri  01 Mar 2013 23:37:48 +0000,35,182,0,neutral,0,Twitter for BlackBerry??,BlackBerry,676,Android,khaylasabrina,LOL  it's truly funny to hear my own voice while sleeping. "Sleep talk recorder app" on android market.. :D
28040,Fri  01 Mar 2013 18:46:12 +0000,349,291,0,neutral,0,UberSocial for BlackBerry,BlackBerry,17080,Android,Da_bomb89,Ur money come oo RT @freddiePBS: Back on Android
28047,Fri  01 Mar 2013 18:58:21 +0000,164,340,2,neutral,0,UberSocial for BlackBerry,BlackBerry,2313,Android,Eve_SN,#Forever now FREE limited time http://t.co/UKvLuKMJwD  Kobo Reading App free on iPad &amp; Android  check it out! #Vampires #ParanormalRomance
28083,Fri  01 Mar 2013 20:04:01 +0000,803,680,3,neutral,0,UberSocial for BlackBerry,BlackBerry,12445,Android,Uzzy_JFM,*take Mic* RT @iTs_OverXposed: time to run android files on this bb10
28089,Fri  01 Mar 2013 20:10:07 +0000,185,137,0,positive,0,UberSocial for BlackBerry,BlackBerry,13398,Android,4Ls2Ns1A,Android is the new ish
28092,Fri  01 Mar 2013 20:10:30 +0000,185,137,0,positive,0,UberSocial for BlackBerry,BlackBerry,13399,Android,4Ls2Ns1A,Moving to android as soon as I can comfortably afford it
28095,Fri  01 Mar 2013 20:13:01 +0000,493,305,1,neutral,0,UberSocial for BlackBerry,BlackBerry,24418,Android,woo_really_care,But the bb10 is awesome RT @4Ls2Ns1A: Android is the new ish
28096,Fri  01 Mar 2013 20:16:49 +0000,185,137,0,neutral,0,UberSocial for BlackBerry,BlackBerry,13403,Android,4Ls2Ns1A,That's what they say about every new BB RT @woo_really_care: But the bb10 is awesome RT @4Ls2Ns1A: Android is the new ish
28104,Fri  01 Mar 2013 20:26:38 +0000,165,341,2,positive,0,UberSocial for BlackBerry,BlackBerry,2315,Android,Eve_SN,#Forever FREE limited time on http://t.co/UKvLuKMJwD Kobo Reading App free on iPad &amp; Android  so check it out!#ForeverSeries #Vampires
28108,Fri  01 Mar 2013 20:34:51 +0000,87,610,0,neutral,0,UberSocial for BlackBerry,BlackBerry,420,Android,phil87_,Thanks a lot RT @jadejewel101: @phil87_  A message for you. PinQuotes Android App http://t.co/kLXDiA2rkB
28141,Fri  01 Mar 2013 21:42:19 +0000,332,518,1,positive,0,UberSocial for BlackBerry,BlackBerry,9496,Android,adelaw01,( '.') RT @LaughorYawn: Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA
28142,Fri  01 Mar 2013 21:42:34 +0000,763,1007,2,neutral,0,UberSocial for BlackBerry,BlackBerry,26848,Android,LoDdaDon,#Word #Preach RT @LaughorYawn: Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA
