[tt0206634]  [$35,286,428]  
[tt0384793]  [$36,300,285]  
[tt0387877]  [$22,518,325]  
[tt0430357]  [$63,437,595]  
[tt0463034]  [$75,628,110]  
[tt0463985]  [$62,514,415]  
[tt0452594]  [$118,683,130]  
[tt0405336]  [$275,380 ]  
[tt0475276]  [$31,471,430]  
[tt0454848]  [$88,504,640]  
[tt0465142]  [$7,191,830 ]  
[tt0381971]  [$58,336,565]  
[tt0408306]  [$47,379,090]  
[tt0395251]  [$19,377,727]  
[tt0360717]  [$218,080,020]  
[tt0489105]  []  
[tt0418763]  [$62,647,540]  
[tt0436058]  []  
[tt0396752]  [$47,144,110]  
[tt0417217]  [$22,862,049]  
[tt0379786]  [$25,335,935]  
[tt0405422]  [$109,449,230]  
[tt0397101]  [$47,806,295]  
[tt0414387]  [$38,405,088]  
[tt0418819]  [$20,700,082]  
[tt0380623]  [$16,247,775]  
[tt0435687]  [&#163;1,330]  
[tt0352248]  [$61,644,321]  
[tt0384642]  [$52,580,895]  
[tt0373926]  [$72,515,360]  
[tt0375210]  [$55,865,715]  
[tt0290002]  [$279,167,570]  
[tt0385267]  [$45,489,752]  
[tt0317198]  [$40,203,020]  
[tt0390022]  [$61,188,085]  
[tt0360201]  [$17,001,133]  
[tt0350258]  [$75,305,995]  
[tt0372183]  [$176,241,940]  
[tt0420066]  []  
[tt0407658]  []  
[tt0296572]  [$57,761,012]  
[tt0405833]  []  
[tt0338526]  [$120,177,080]  
[tt0330111]  [&#163;61,410]  
[tt0406310]  []  
[tt0345074]  [$8,054,280 ]  
[tt0365748]  [$13,464,388]  
[tt0334965]  []  
[tt0343135]  [$87,856,565]  
[tt0461818]  []  
[tt0316396]  [$48,417,850]  
[tt0322589]  [$30,222,640]  
[tt0311113]  [$93,926,386]  
[tt0312528]  [$100,446,890]  
[tt0327850]  [$47,592,825]  
[tt0314331]  [$59,365,105]  
[tt0138524]  [$35,327,628]  
[tt0328828]  [$104,565,110]  
[tt0329575]  [$120,277,850]  
[tt0286716]  [$132,122,990]  
[tt0322259]  [$127,154,900]  
[tt0315327]  [$242,589,580]  
[tt0360985]  []  
[tt0409995]  []  
[tt0427266]  []  
[tt0277370]  []  
[tt0274166]  [$27,972,410]  
[tt0355315]  []  
[tt0251736]  [$12,634,962]  
[tt0289992]  [$19,593,740]  
[tt0460515]  []  
[tt0351265]  []  
[tt0270707]  [$5,293,525 ]  
[tt0289765]  [$92,930,005]  
[tt0343644]  []  
[tt0280969]  [&#163;2,566]  
[tt0280720]  [$3,034,181 ]  
[tt0300532]  [$40,390,647]  
[tt0309986]  []  
[tt0258463]  [$121,661,680]  
[tt0279493]  [$38,230,435]  
[tt0328007]  []  
[tt0276751]  [$40,566,655]  
[tt0277296]  [$90,341,670]  
[tt1500812]  []  
[tt0243736]  [$69,588 ]  
[tt0259288]  [$30,063,805]  
[tt0265298]  [$47,811,275]  
[tt0160184]  [$79,161 ]  
[tt0262396]  [$17,504,595]  
[tt0368742]  []  
[tt0361750]  []  
[tt0268978]  [$170,708,990]  
[tt0294345]  []  
[tt0266987]  [$62,326,785]  
[tt0252866]  [$145,103,590]  
[tt0163025]  [$181,166,110]  
[tt0232500]  [$144,533,920]  
[tt0209163]  [$202,007,640]  
[tt0238112]  [$25,543,895]  
[tt0236348]  [$14,252,830]  
[tt0243155]  [$71,500,556]  
[tt0323834]  []  
[tt0212985]  [$165,091,460]  
[tt0192111]  [$10,397,365]  
[tt0182000]  [$687,081 ]  
