OCC_CODE,OCC_TITLE,OCC_GROUP,A_MEAN,occ_major
53-3090,Miscellaneous Motor Vehicle Operators,53,"31,510",detail
53-3099,"Motor Vehicle Operators, All Other",53,"31,510",detail
53-4000,Rail Transportation Workers,53,"54,280",detail
53-4010,Locomotive Engineers and Operators,53,"53,260",detail
53-4011,Locomotive Engineers,53,"54,830",detail
53-4012,Locomotive Firers,53,"48,550",detail
53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",53,"43,450",detail
53-4020,"Railroad Brake, Signal, and Switch Operators",53,"50,260",detail
53-4030,Railroad Conductors and Yardmasters,53,"56,770",detail
53-4040,Subway and Streetcar Operators,53,"58,220",detail
53-4090,Miscellaneous Rail Transportation Workers,53,"54,930",detail
53-4099,"Rail Transportation Workers, All Other",53,"54,930",detail
53-5000,Water Transportation Workers,53,"58,530",detail
53-5010,Sailors and Marine Oilers,53,"39,760",detail
53-5020,Ship and Boat Captains and Operators,53,"70,610",detail
53-5021,"Captains, Mates, and Pilots of Water Vessels",53,"73,760",detail
53-5022,Motorboat Operators,53,"38,560",detail
53-5030,Ship Engineers,53,"75,480",detail
53-6000,Other Transportation Workers,53,"27,090",detail
53-6010,Bridge and Lock Tenders,53,"43,300",detail
53-6020,Parking Lot Attendants,53,"21,540",detail
53-6030,Automotive and Watercraft Service Attendants,53,"21,600",detail
53-6040,Traffic Technicians,53,"42,480",detail
53-6050,Transportation Inspectors,53,"66,470",detail
53-6060,"Transportation Attendants, Except Flight Attendants",53,"23,960",detail
53-6090,Miscellaneous Transportation Workers,53,"34,330",detail
53-6099,"Transportation Workers, All Other",53,"34,330",detail
53-7000,Material Moving Workers,53,"27,350",detail
53-7010,Conveyor Operators and Tenders,53,"31,360",detail
53-7020,Crane and Tower Operators,53,"50,610",detail
53-7030,"Dredge, Excavating, and Loading Machine Operators",53,"42,260",detail
53-7031,Dredge Operators,53,"43,120",detail
53-7032,Excavating and Loading Machine and Dragline Operators,53,"41,850",detail
53-7033,"Loading Machine Operators, Underground Mining",53,"48,060",detail
53-7040,Hoist and Winch Operators,53,"47,710",detail
53-7050,Industrial Truck and Tractor Operators,53,"32,090",detail
53-7060,"Laborers and Material Movers, Hand",53,"25,310",detail
53-7061,Cleaners of Vehicles and Equipment,53,"22,620",detail
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",53,"26,410",detail
53-7063,Machine Feeders and Offbearers,53,"28,680",detail
53-7064,"Packers and Packagers, Hand",53,"22,470",detail
53-7070,Pumping Station Operators,53,"47,520",detail
53-7071,Gas Compressor and Gas Pumping Station Operators,53,"51,840",detail
53-7072,"Pump Operators, Except Wellhead Pumpers",53,"47,590",detail
53-7073,Wellhead Pumpers,53,"46,140",detail
53-7080,Refuse and Recyclable Material Collectors,53,"35,230",detail
53-7110,Mine Shuttle Car Operators,53,"51,310",detail
53-7120,"Tank Car, Truck, and Ship Loaders",53,"46,400",detail
53-7190,Miscellaneous Material Moving Workers,53,"41,040",detail
53-7199,"Material Moving Workers, All Other",53,"41,040",detail
