WEO Subject Code,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
NGDP_RPCH,China,7.91,5.2,9.1,10.9,15.2,13.5,8.8,11.6,11.3,4.1,3.839,9.179,14.241,13.964,13.081,10.925,10.009,9.297,7.833,7.62,8.431,8.3,9.082,10.025,10.085,11.31,12.677,14.162,9.635,9.214,10.447,9.295,7.8,8.038,8.241,8.509,8.525,8.503,8.464
NGDP_RPCH,Colombia,4.429,2.277,0.948,1.574,3.351,3.107,5.824,5.369,4.064,3.414,4.282,2.372,4.353,5.71,5.147,5.202,2.056,3.43,0.57,-4.204,2.925,1.678,2.504,3.918,5.333,4.707,6.698,6.901,3.547,1.652,3.972,6.645,4.004,4.093,4.514,4.478,4.489,4.495,4.495
NGDP_RPCH,Comoros,7.383,5.462,4.058,3.093,4.167,2,2,1.638,2.688,-3.181,5.091,-5.396,8.531,3.006,-5.277,3.61,-1.34,4.216,1.153,1.924,1.417,3.329,4.15,2.474,-0.239,4.23,1.242,0.492,0.975,1.81,2.051,2.227,2.45,3.545,3.985,3.969,3.97,4.024,4.084
NGDP_RPCH,Democratic Republic of the Congo,2.405,0.945,-0.454,1.41,4.844,0.464,4.72,2.671,0.465,-1.26,-6.568,-8.445,-10.462,-13.468,-3.867,0.661,-1.114,-5.409,-1.737,-4.27,-6.9,-2.1,3.468,5.791,6.64,7.801,5.581,6.258,6.155,2.834,7.174,6.88,7.107,8.296,6.419,6.888,6.783,5.931,4.591
NGDP_RPCH,Republic of Congo,12.678,2.613,2.41,2.393,2.375,2.359,2.343,2.327,21.908,21.269,1.003,2.395,2.612,-0.98,-5.493,3.985,4.29,-0.625,3.738,-2.582,7.576,3.803,4.582,0.813,3.477,7.756,6.236,-1.582,5.572,7.469,8.752,3.421,3.832,6.384,5.825,20.695,2.421,8.557,5.079
NGDP_RPCH,Costa Rica,0.752,-2.264,-7.286,4.156,8.028,0.722,5.536,4.765,3.432,5.666,3.6,2.263,9.152,7.414,4.73,3.921,0.887,5.578,8.398,8.222,1.8,1.076,2.902,6.405,4.259,5.886,8.78,7.935,2.732,-1.016,4.68,4.194,5,4.2,4.4,4.5,4.5,4.5,4.5
NGDP_RPCH,C?te d'Ivoire,5.196,3.498,0.2,-2.5,-2,3.6,4.8,-0.5,1.14,2.95,-1.09,0.04,-0.25,12.986,0.171,5.572,8.136,5.722,4.452,1.819,-4.629,0.019,-1.574,-1.677,1.58,1.9,0.729,1.585,2.329,3.75,2.449,-4.726,9.838,7.966,7.969,8.057,7.808,7.419,6.983
NGDP_RPCH,Croatia,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-8,5.9,6.634,5.836,5.362,2.523,-0.86,4.179,3.657,4.878,5.37,4.129,4.28,4.935,5.06,2.084,-6.947,-2.272,-0.047,-1.976,-0.2,1.5,2,2,2.5,2.5
NGDP_RPCH,Cyprus,5.92,3.051,6.279,5.307,8.837,4.746,3.583,7.139,8.317,8.088,7.405,0.74,9.365,0.701,5.899,9.924,1.809,2.299,5.009,4.831,5.019,4.023,2.129,1.866,4.234,3.86,4.13,5.093,3.586,-1.856,1.308,0.533,-2.425,n/a,n/a,n/a,n/a,n/a,n/a
NGDP_RPCH,Czech Republic,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.54,-0.853,-0.236,1.679,4.186,3.097,2.149,3.766,4.743,6.752,7.02,5.735,3.099,-4.507,2.492,1.887,-1.249,0.297,1.632,2.726,2.767,2.957,2.988
