id,user,date,source,retweets,text,followers,statuses,listed,friends,source_cleaned,tweettopic
10152,AkronLovesYou6,Fri  01 Mar 2013 21:48:41 +0000,Twitter for iPhone,0,#nowplaying Paranoid Android- Radiohead,61,1043,0,455,iOS,Android
10154,sayyyBAA_,Fri  01 Mar 2013 21:48:53 +0000,Twitter for iPhone,0,I miss my android,587,18434,1,755,iOS,Android
10155,divinamojica,Fri  01 Mar 2013 21:49:12 +0000,Twitter for iPhone,0,Damn you android for not having flash player! #tabletproblems,169,10687,1,169,iOS,Android
10162,VerbalSpacey,Fri  01 Mar 2013 21:50:29 +0000,Twitter for iPhone,0,You can tell who uses an Android device by the amount of typos in their tweets and texts.,497,28594,16,462,iOS,Android
10163,dhatbtch_23,Fri  01 Mar 2013 21:51:17 +0000,Twitter for iPhone,0,Trappin Off My Android.,389,6708,1,385,iOS,Android
10170,CanadianMamma,Fri  01 Mar 2013 21:52:18 +0000,Twitter for iPhone,0,Real friends don't send emojis to android friends. #BeKind #UseEmoticons,416,2724,1,324,iOS,Android
10182,mauropm,Fri  01 Mar 2013 21:54:44 +0000,Twitter for iPhone,0,@Saucerdk @learningti whats the content of the android section of your tiapp.xml?,3096,119744,170,393,iOS,Android
10189,NiggasHatee,Fri  01 Mar 2013 21:57:04 +0000,Twitter for iPhone,0,"Look folks  my nigga got that ????&lt;- that's fire for android users lol. ?€?@Colby_Cash: @NiggasHatee new shit bra 


http://t.co/yy5r16SpRo?€?",521,31115,1,374,iOS,Android
10197,Mimi_Kay_,Fri  01 Mar 2013 21:58:06 +0000,Twitter for iPhone,0,I remember Kaytlyn's old android lol,308,17690,0,209,iOS,Android
10202,_kaytlynee,Fri  01 Mar 2013 21:59:17 +0000,Twitter for iPhone,0,it was shitttttyyy ?€?@Mimi_Kay_: I remember Kaytlyn's old android lol?€?,339,9135,0,173,iOS,Android
10217,STayEVEN,Fri  01 Mar 2013 22:01:57 +0000,Twitter for iPhone,0,Hopping on that android life soon! #fuckberry's,278,1947,0,60,iOS,Android
10218,YOUNECK_iCURVE,Fri  01 Mar 2013 22:02:04 +0000,Twitter for iPhone,0,Lmaoo negga got his mom income tax now he gotta android n used jordans lmaoo... I see u G ???,390,4416,0,262,iOS,Android
10228,GossipBoyz,Fri  01 Mar 2013 22:03:25 +0000,Twitter for iPhone,0,?€?@LaughorYawn: Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA?€?,1894,12766,3,876,iOS,Android
10229,trejkaz,Fri  01 Mar 2013 22:03:40 +0000,Twitter for iPhone,0,Android rendering issues seem like they have a practical benefit.,246,4168,11,76,iOS,Android
10230,Stevedpearce,Fri  01 Mar 2013 22:03:44 +0000,Twitter for iPhone,0,@TheInstowArms Many thanks for the follow u can download a free apple or android app via http://t.co/Dma2QNPPow  Cheers Steve,143,256,3,196,iOS,Android
10235,Stevedpearce,Fri  01 Mar 2013 22:04:19 +0000,Twitter for iPhone,0,@LynBarefoot Many thanks for the follow u can download a free apple or android app via http://t.co/Dma2QNPPow  Cheers Steve,143,257,3,196,iOS,Android
10238,Stevedpearce,Fri  01 Mar 2013 22:04:49 +0000,Twitter for iPhone,0,@BudeWindows Many thanks for the follow u can download a free apple or android app via http://t.co/Dma2QNPPow  Cheers Steve,143,258,3,196,iOS,Android
10240,llanascarmen,Fri  01 Mar 2013 22:05:09 +0000,Twitter for iPhone,0,@33Marifer you're new to the touch screen/android category,479,15953,0,193,iOS,Android
10250,Al_Kaeda,Fri  01 Mar 2013 22:06:13 +0000,Twitter for iPhone,0,I'd buy an android phone just for the Jellybean keyboard. It's beautiful  that's what it is.,234,20609,4,247,iOS,Android
10273,jguzikowski,Fri  01 Mar 2013 22:11:18 +0000,Twitter for iPhone,0,@kevintheclever excuse me? Snood STILL is a thing..apparently they're on Android now (subject of the newsletter),104,3411,3,129,iOS,Android
10286,SLR_Sid,Fri  01 Mar 2013 22:13:15 +0000,Twitter for iPhone,0,i want a android again !,426,7085,0,393,iOS,Android
10295,MakeItHaeske,Fri  01 Mar 2013 22:14:12 +0000,Twitter for iPhone,0,"Android autocorrect doesn't know ""sorority""  further proving that they are the GDIs of the phone world",148,629,0,117,iOS,Android
10296,baddaxsjsb,Fri  01 Mar 2013 22:14:18 +0000,Twitter for iPhone,0,?€?@100stackzSAMboe: I hate when yall use emojis ...i have an android so they jus appear as boxes?€? ????????,815,14155,4,558,iOS,Android
10297,DanandPhiladict,Fri  01 Mar 2013 22:14:21 +0000,Twitter for iPhone,0,@ElizaDanosaur1 well actually kindles are run on android lol,462,4970,0,144,iOS,Android
10308,TiffyNicole15,Fri  01 Mar 2013 22:15:57 +0000,Twitter for iPhone,0,just re downloaded foursquare on my phone and I hadn't used it since I had my android back in December ????,828,30339,8,591,iOS,Android
10310,Iam_Trippz,Fri  01 Mar 2013 22:15:59 +0000,Twitter for iPhone,0,k ?€?@freeMEjwor: I want Android Smiley's too :(?€?,790,33121,0,787,iOS,Android
10321,HAILEESCHMITZ,Fri  01 Mar 2013 22:18:33 +0000,Twitter for iPhone,0,If I'm a retarded android  does that make me a black berry??,6,30,0,23,iOS,Android
10322,apokaloptimist,Fri  01 Mar 2013 22:18:37 +0000,Twitter for iPhone,0,@ExpectLulz i thought I was the only person on earth that hated Samsung android devices,1418,24139,38,2003,iOS,Android
10325,catfyson,Fri  01 Mar 2013 22:19:40 +0000,Twitter for iPhone,0,@xtiffyxx i was put off of android after suffering with a htc phone!,313,4026,8,405,iOS,Android
10338,ellefontt,Fri  01 Mar 2013 22:21:40 +0000,Twitter for iPhone,0,Never trust a bitch with an android! ???? @laurenstutes,339,12904,1,437,iOS,Android
10351,sandy_harkho,Fri  01 Mar 2013 22:24:50 +0000,Twitter for iPhone,0,@Jeffrey_Barrrrr fuck yoo android' can't see me bitchhhh????????????,203,4106,0,183,iOS,Android
10384,morgenisme,Fri  01 Mar 2013 22:29:55 +0000,Twitter for iPhone,0,@nataliecraving yeah android sucks haha,118,8062,1,111,iOS,Android
10391,magnisbane,Fri  01 Mar 2013 22:30:43 +0000,Twitter for iPhone,0,@imagin3drag0ns ooh you have an android? AWW :((((,862,14076,1,152,iOS,Android
10406,just1nbruce,Fri  01 Mar 2013 22:32:42 +0000,Twitter for iPhone,0,.@ikersaldivar just told that the Android version of the new WKRN weather app is on the way in a week or so.,3080,11743,160,1165,iOS,Android
10411,catfyson,Fri  01 Mar 2013 22:33:01 +0000,Twitter for iPhone,0,@xtiffyxx my boyfriends mum has the galaxy tab which is good but i've been put off android! #applesbitch,313,4031,8,405,iOS,Android
10420,BrenenDre,Fri  01 Mar 2013 22:35:02 +0000,Twitter for iPhone,0,@LyonsJade android about to come my way lol,487,20537,0,263,iOS,Android
10422,IDance_SheWatch,Fri  01 Mar 2013 22:35:56 +0000,Twitter for iPhone,0,I want an android phone,873,30465,1,474,iOS,Android
10423,adamwrobinson,Fri  01 Mar 2013 22:36:14 +0000,Twitter for iPhone,0,@DYMongoose he attacked customers of smartphones which are flat featureless devices. Apple &amp; others too. A big part of which use Android.,366,10002,9,186,iOS,Android
10428,_LiyyahDee,Fri  01 Mar 2013 22:38:06 +0000,Twitter for iPhone,0,When my echofon app starts tripping I switch to twitter for android,1230,46717,5,943,iOS,Android
10429,Not_That_Heroic,Fri  01 Mar 2013 22:38:08 +0000,Twitter for iPhone,0,I don't think I'll ever go back to the android life by choice.,832,18877,2,507,iOS,Android
10446,Sincipient820,Fri  01 Mar 2013 22:42:04 +0000,Twitter for iPhone,0,The SQUATCHBOX is a must have app for every #squatcher or #bigfoot hunter out there...FREE on #Android,892,192,2,1350,iOS,Android
10450,_Left_Eye,Fri  01 Mar 2013 22:43:18 +0000,Twitter for iPhone,0,I had to fuckin leave work cause of @TrapGirl__Mimi for saying that this worker said an android is NOT a smart phone ????????????????????,1120,51392,3,1065,iOS,Android
10467,MadisonCrisler,Fri  01 Mar 2013 22:47:34 +0000,Twitter for iPhone,0,I miss my android ... I liked that so much better at times,51,1214,0,65,iOS,Android
10469,ThatTaylorMonet,Fri  01 Mar 2013 22:47:54 +0000,Twitter for iPhone,0,Couldn't answer my phone was completely dead android said swipe denied #HA,501,24639,2,488,iOS,Android
