X,date,followers,friends,listed,predicted,retweets,source,source_cleaned,statuses,tweettopic,user,text

Sent via imgurApp for the iOS http://t.co/VrLKQoewB7 http://t.co/lbjg2dcadF
2896,Fri  01 Mar 2013 22:44:01 +0000,31,276,0,u,0,imgurApp on iOS,iOS,250,iOS,EliseuMarcolino,Check out this image from imgur!

Sent via imgurApp for the iOS http://t.co/H5eJ2hJreb http://t.co/VaNZiMln6T
2897,Fri  01 Mar 2013 23:16:46 +0000,23,155,0,u,0,imgurApp on iOS,iOS,528,iOS,chrissyjonesy,We should totally do this at our coldstone! #icecreamprobs

Sent via imgurApp for the iOS http://t.co/2dK9Qf71nW http://t.co/l5SDSiosHx
2898,Fri  01 Mar 2013 22:20:31 +0000,231,207,1,u,0,Immortal City on iOS,iOS,7726,iOS,MikelDykal,I just finished a quest in ImmortalCity from YesGnome Free download for iOS: http://t.co/MCNKxsinGz
2013-03-01 22:20:28 +0000
2994,Fri  01 Mar 2013 18:38:54 +0000,50,153,1,u,0,iOS,iOS,1278,iOS,heyitsamar,Fuck why does iOS not have this native?
2995,Fri  01 Mar 2013 18:40:04 +0000,297,182,1,u,0,iOS,iOS,11161,iOS,mini_dudu,My WALLABY-P flying from Detroit to Cincinnati in Pocket Planes for iOS! http://t.co/bfDsz9y4U3
2996,Fri  01 Mar 2013 18:42:22 +0000,4,122,0,u,0,iOS,iOS,2,iOS,officialimicca,Here it is! new video! Maps in iOS  Youtube app and cool weather app! http://t.co/pG5KekhB7W
2997,Fri  01 Mar 2013 18:43:21 +0000,15,56,0,u,0,iOS,iOS,55,iOS,garymccrory1,Hey! Check out this interesting video from Wimp iOS app: http://t.co/S8JSAYPlRc
2999,Fri  01 Mar 2013 18:46:23 +0000,101,33,3,u,0,iOS,iOS,9829,iOS,Suman_Sam,@Support Push Notification on #iOS not working properly.
3001,Fri  01 Mar 2013 18:59:57 +0000,2943,41,17,u,0,iOS,iOS,3507,iOS,GeoffroyMorel,I'm using "TwitConnect!" on iOS to know if my followers are connected! http://t.co/mLE5mY1Wke
3002,Fri  01 Mar 2013 19:01:18 +0000,160,210,0,u,0,iOS,iOS,2950,iOS,Brenda_angulo,@kooapps I just busted some pirate in Pirate Wars for iOS! Challenge me now for free! http://t.co/uueE4oVsoU
3003,Fri  01 Mar 2013 19:03:31 +0000,518,527,1,p,0,iOS,iOS,2036,iOS,hideyostASH,I love that the iPhone 6 is rumored to come out by September 2014 with iOS 7. My contract will be up! ????
3005,Fri  01 Mar 2013 19:06:37 +0000,379,596,5,u,0,iOS,iOS,35922,iOS,jestalk,Para los Apple  Mac &amp; iOS FREAKS out there: iMore by Mobile Nations https://t.co/lYEXUkCss9
3006,Fri  01 Mar 2013 19:08:32 +0000,534,1430,6,u,0,iOS,iOS,8258,iOS,KatAdrias,This cubie app is such a cutie. Download it guys. #iOS
3007,Fri  01 Mar 2013 19:10:47 +0000,2943,41,17,u,0,iOS,iOS,3507,iOS,GeoffroyMorel,I'm using "TwitConnect!" on iOS to know if my followers are connected! http://t.co/mLE5mY1Wke
3008,Fri  01 Mar 2013 19:11:24 +0000,3516,1020,53,u,0,iOS,iOS,248583,iOS,MasonDontTweet,RT @viticci: RT @martinarista: How @viticci explains URL schemes and iOS workflows http://t.co/WPsZt10ITM
3010,Fri  01 Mar 2013 19:16:24 +0000,347,673,8,u,0,iOS,iOS,2411,iOS,MarcoDiks,#evernote on IOS kept crashing after Evernote update. A reinstall solves the problem.
3011,Fri  01 Mar 2013 19:23:41 +0000,5,47,0,u,0,iOS,iOS,8,iOS,NSwagpants,Created with @OhaiUnicorn's #ImaUnicorn free for iOS! http://t.co/RWAflhYlEq http://t.co/UWyOo1dGfR
3015,Fri  01 Mar 2013 19:30:28 +0000,66,147,0,u,0,iOS,iOS,113,iOS,boso37,Score 0 obtained in Ultimate Skateboard Legend: Touch Grind Edition. Play it FREE on iOS!nb https://t.co/9tGIhynn22 http://t.co/HrORrRz3Cv
3019,Fri  01 Mar 2013 19:33:45 +0000,68,66,0,u,0,iOS,iOS,2768,iOS,DanBrien101,Funny BitBook post in Pocket Planes for iOS!  http://t.co/3lKmzpYtRX http://t.co/Z3khN6PceE
3021,Fri  01 Mar 2013 19:37:26 +0000,552,377,0,u,0,iOS,iOS,955,iOS,Durrell_Young,The more IOS updates there are  the slower your phone gets.
3023,Fri  01 Mar 2013 19:59:14 +0000,37,102,0,u,0,iOS,iOS,311,iOS,FaatihahRahim,Created with @OhaiUnicorn's #ImaUnicorn free for iOS! http://t.co/lF6DF7AC3E http://t.co/ydpufvEOO3
3024,Fri  01 Mar 2013 20:00:47 +0000,37,102,0,u,0,iOS,iOS,312,iOS,FaatihahRahim,Created with @OhaiUnicorn's #ImaUnicorn free for iOS! http://t.co/lF6DF7AC3E http://t.co/g0OKu8P1Ka
3025,Fri  01 Mar 2013 20:01:50 +0000,444,134,0,u,0,iOS,iOS,1797,iOS,Mohammed9076291,Downloading subway surfers for my new iOS 6.1.2.
3026,Fri  01 Mar 2013 20:02:24 +0000,359,324,40,u,0,iOS,iOS,32536,iOS,dotJAO,If only we could fuse iOS and the Lumia 920 hardware OMG
3027,Fri  01 Mar 2013 20:04:59 +0000,591,1119,2,u,0,iOS,iOS,2589,iOS,Merve_Yalin,Created in Volt for iOS: http://t.co/SSos5BY6P4 http://t.co/dJ31JUyobD
3028,Fri  01 Mar 2013 20:10:50 +0000,1176,1183,4,u,0,iOS,iOS,39333,iOS,somebarry,..And RF13 for iOS ina 784MB.. Nimeketi ___/
3029,Fri  01 Mar 2013 20:12:37 +0000,14257,501,89,u,0,iOS,iOS,5723,iOS,manuel,I just deleted 382 birthdays from my address book  and calendar  with "Birthday Remover" for iOS  - get it here http://t.co/uoq8jlSl7l
