date,followers,friends,id,listed,predicted,retweets,source,source_cleaned,statuses,tweettopic,user,text
Fri  01 Mar 2013 23:20:14 +0000,312,332,6789,3,positive,0,TweetList!,iOS,43976,Android,CashDADDY_,@MauryRell_ I know ! Niggas wanna be on that bumass  android flow
Fri  01 Mar 2013 19:09:47 +0000,186,254,9181,0,neutral,0,Twitter for iPad,iOS,1537,Android,emreaksoyGS,@zekikayahan Android
Fri  01 Mar 2013 19:30:15 +0000,522,1540,9200,36,neutral,0,Twitter for iPad,iOS,7611,Android,justicejr,@wacom's new tablet device will run Android. Just guessing.
Fri  01 Mar 2013 20:24:03 +0000,3,35,9224,0,positive,0,Twitter for iPad,iOS,206,Android,shadow3vil,Android is better than apple just because Android can watch Flash videos. Okay because Flash makes it all better. :P http://t.co/iuwmyeiRnx
Fri  01 Mar 2013 20:36:57 +0000,20,171,9234,0,positive,0,Twitter for iPad,iOS,288,Android,Ryanlight29,@9to5Google Another day  another "me too" Android tablet. *Yawn*. Can't imagine it would sell really well.
Fri  01 Mar 2013 20:40:04 +0000,1111,1996,9236,23,neutral,0,Twitter for iPad,iOS,6833,Android,android_no,Android tiene mucho LAG
http://t.co/ZWZ3Nb801e
Fri  01 Mar 2013 20:41:20 +0000,583,252,9237,0,neutral,0,Twitter for iPad,iOS,3769,Android,Mariaaax_x,Touch pal keyboard on android is similar to swift key  but swift key is better.
Fri  01 Mar 2013 21:11:10 +0000,887,529,9259,8,neutral,0,Twitter for iPad,iOS,146075,Android,razer_i7,@NerdyFTW @nickba lol android doesn't have it any more either
Fri  01 Mar 2013 21:18:44 +0000,178,157,9266,0,positive,0,Twitter for iPad,iOS,7694,Android,DjNezzyNezz,@android_andy bitch just text me. #chchbang
Fri  01 Mar 2013 21:39:43 +0000,242,624,9275,4,neutral,0,Twitter for iPad,iOS,1874,Android,gadamak,The HP Slate 7 tablet with Android OS is a fully featured tablet that brings your world down to size.
Fri  01 Mar 2013 21:40:06 +0000,1750,1848,9276,37,neutral,0,Twitter for iPad,iOS,6725,Android,codfather,Have to say after several weeks playing with Android 4.2   the Android devs have really nailed this OS. Fast  Usable and intuitive 10/10
Fri  01 Mar 2013 21:44:38 +0000,210,223,9284,0,negative,0,Twitter for iPad,iOS,10521,Android,mbrkbichi,?@LaughorYawn: Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA? haha
Fri  01 Mar 2013 21:50:05 +0000,550,229,9289,2,negative,0,Twitter for iPad,iOS,2932,Android,Aysha_muah,?@tHe_sMoOcHy: u r tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA?
Fri  01 Mar 2013 21:50:35 +0000,246,163,9290,0,negative,0,Twitter for iPad,iOS,14235,Android,Pietrosparks,K ?@fr3sh_ish: Your tweeting VIA ANDROID doesn't mean your IQ is higher than someone that tweets via NOKIA?
Fri  01 Mar 2013 21:59:19 +0000,357,399,9293,7,neutral,0,Twitter for iPad,iOS,7902,Android,tjsynkral,@DraakSwifttail That's an Android problem. Any keyboard that doesn't have it is violating the Android IME requirements.
Fri  01 Mar 2013 22:10:19 +0000,26,89,9300,0,neutral,0,Twitter for iPad,iOS,545,Android,blomgren23,@droid_life: Final contest:  Win a Nexus 10 16GB from Droid Life! http://t.co/21ovoUTWrN #android
Fri  01 Mar 2013 22:16:15 +0000,875,680,9310,26,neutral,0,Twitter for iPad,iOS,24653,Android,springrose12,@Mruff221 But you are the most perfect android I've ever met. Technology is really improving:)
Fri  01 Mar 2013 22:24:08 +0000,504,653,9314,3,neutral,0,Twitter for iPad,iOS,2291,Android,perossmeisl,?@pyle_sandy: Now It's Their Turn to Tighten Belts  http://t.co/aEjJW45JGb - Sent via the FOX News Android

AMEN!!! http://t.co/t0AeMhDs1y
Fri  01 Mar 2013 22:27:45 +0000,373,373,9317,2,positive,0,Twitter for iPad,iOS,31094,Android,AyoAshezSays,Went burger king yesterday for the first time ! Wid dawn .. We saw dutty android ... I wont even comment on the food i had :/
Fri  01 Mar 2013 22:58:26 +0000,42,146,9331,0,neutral,0,Twitter for iPad,iOS,440,Android,ZedKunda,The more I research the more I want an #XperiaZ it is stunning #android perfection
Fri  01 Mar 2013 23:00:27 +0000,1012,1268,9332,3,neutral,0,Twitter for iPad,iOS,22800,Android,Abuwalid9999,???????????? ?????????????? 
I recommend you to use Salatuk v 1.3.4. 
Visit the links from your android phone. 
Salatuk v 1.3.4 {{http://t.co/ymDGSXx4qP
Fri  01 Mar 2013 23:09:21 +0000,324,218,9336,1,neutral,0,Twitter for iPad,iOS,21241,Android,CentsNoCash,I don't think I want another android
Fri  01 Mar 2013 23:13:44 +0000,793,1015,9339,8,positive,0,Twitter for iPad,iOS,21076,Android,LittlePrinceB,?@I_am_a_Leo: Sorry all my android froze :((?  put him in the microwave!!#defrost
Fri  01 Mar 2013 23:20:27 +0000,731,886,9344,1,positive,0,Twitter for iPad,iOS,25640,Android,TweetinLegend_,?@RuckaRuckaAli: Romney would have known the difference between Star Trek and Star Wars... he's actually half android himself.?
